City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san mateo del mar,16.2,-95.0,23.86,69,67,15.74,MX,1675437532
1,punta arenas,-53.15,-70.9167,20.06,49,75,16.46,CL,1675437490
2,hobart,-42.8794,147.3294,14.92,66,75,6.17,AU,1675437533
3,albany,42.6001,-73.9662,-11.47,49,48,1.79,US,1675437533
4,poum,-20.2333,164.0167,27.7,79,88,4.41,NC,1675437534
5,mar del plata,-38.0023,-57.5575,23.86,66,0,5.36,AR,1675437345
6,jamestown,42.097,-79.2353,-13.23,88,100,7.2,US,1675437257
7,new norfolk,-42.7826,147.0587,14.72,72,100,0.89,AU,1675437535
8,yellowknife,62.456,-114.3525,-27.71,76,75,3.09,CA,1675437535
9,lasa,46.6166,10.7002,9.65,75,60,3.98,IT,1675437536
10,hilo,19.7297,-155.09,22.93,89,100,2.06,US,1675437536
11,chokurdakh,70.6333,147.9167,-35.31,100,93,1.19,RU,1675437537
12,bluff,-46.6,168.3333,16.29,97,100,2.4,NZ,1675437537
13,kruisfontein,-34.0033,24.7314,24.94,58,8,5.91,ZA,1675437538
14,qaanaaq,77.484,-69.3632,-18.98,61,94,3.56,GL,1675437538
15,rikitea,-23.1203,-134.9692,25.48,71,64,4.38,PF,1675437293
16,victoria,22.2855,114.1577,19.1,83,69,4.92,HK,1675437461
17,fonte boa,-2.4959,-66.2662,23.51,97,100,0.96,BR,1675437540
18,busselton,-33.65,115.3333,23.56,43,77,7.38,AU,1675437285
19,alekseyevka,50.6309,38.6903,0.56,92,100,4.4,RU,1675437542
20,kimbe,-5.5502,150.1429,24.61,93,100,0.85,PG,1675437543
21,saint-philippe,-21.3585,55.7679,25.77,88,85,6.24,RE,1675437543
22,hermanus,-34.4187,19.2345,27.11,58,0,9.07,ZA,1675437544
23,vaini,-21.2,-175.2,25.09,94,75,7.2,TO,1675437545
24,ribas do rio pardo,-20.4431,-53.7592,24.59,87,100,1.93,BR,1675437545
25,okhotsk,59.3833,143.3,-24.85,87,24,4.91,RU,1675437546
26,sergeyevka,53.88,67.4158,-18.93,96,15,1.83,KZ,1675437546
27,arlit,18.7369,7.3853,33.89,10,74,5.87,NE,1675437547
28,nikolskoye,59.7035,30.7861,-3.45,96,100,2.47,RU,1675437547
29,labuhan,-6.8844,112.2051,26.19,83,100,2.48,ID,1675437548
30,carnarvon,-24.8667,113.6333,27.16,70,20,1.67,AU,1675437549
31,harbour breton,47.4833,-55.7983,1.12,98,100,15.13,CA,1675437549
32,vanavara,60.34,102.2797,-20.25,100,87,2.04,RU,1675437549
33,nueva concepcion,14.2,-91.3,29.53,37,8,0.98,GT,1675437550
34,sioux lookout,50.1001,-91.917,-32.96,75,20,2.06,CA,1675437550
35,itaituba,-4.2761,-55.9836,31.09,66,40,2.57,BR,1675437551
36,sungai petani,5.647,100.4877,24.94,94,100,1.19,MY,1675437552
37,jawhar,2.7809,45.5005,26.89,54,67,9.39,SO,1675437552
38,severo-kurilsk,50.6789,156.125,-2.76,72,100,5.85,RU,1675437553
39,geraldton,-28.7667,114.6,25.23,69,42,3.09,AU,1675437553
40,kerema,-7.9631,145.7785,25.11,92,100,1.58,PG,1675437554
41,ushuaia,-54.8,-68.3,15.79,87,96,4.33,AR,1675437285
42,cape town,-33.9258,18.4232,26.17,56,0,11.32,ZA,1675437555
43,atuona,-9.8,-139.0333,25.71,79,13,8.48,PF,1675437556
44,fukue,32.6881,128.8419,8.79,60,81,7.49,JP,1675437556
45,lavrentiya,65.5833,-171.0,-25.07,92,59,3.45,RU,1675437557
46,vila franca do campo,37.7167,-25.4333,17.23,81,69,4.42,PT,1675437558
